GEO_ID,GEO.id2,GEO.display-label,Population
1500000US080010085492,80010085492,"Block Group 2, Census Tract 85.49, Adams County, Colorado",1297
1500000US080010085501,80010085501,"Block Group 1, Census Tract 85.50, Adams County, Colorado",1715
1500000US080010085502,80010085502,"Block Group 2, Census Tract 85.50, Adams County, Colorado",1314
1500000US080010085503,80010085503,"Block Group 3, Census Tract 85.50, Adams County, Colorado",3572
1500000US080010085504,80010085504,"Block Group 4, Census Tract 85.50, Adams County, Colorado",1386
1500000US080010085511,80010085511,"Block Group 1, Census Tract 85.51, Adams County, Colorado",571
1500000US080010086031,80010086031,"Block Group 1, Census Tract 86.03, Adams County, Colorado",2055
1500000US080010086041,80010086041,"Block Group 1, Census Tract 86.04, Adams County, Colorado",3162
1500000US080010086042,80010086042,"Block Group 2, Census Tract 86.04, Adams County, Colorado",1761
1500000US080010086051,80010086051,"Block Group 1, Census Tract 86.05, Adams County, Colorado",1866
1500000US080010086052,80010086052,"Block Group 2, Census Tract 86.05, Adams County, Colorado",1813
1500000US080010086061,80010086061,"Block Group 1, Census Tract 86.06, Adams County, Colorado",1607
1500000US080010086062,80010086062,"Block Group 2, Census Tract 86.06, Adams County, Colorado",1269
1500000US080010086063,80010086063,"Block Group 3, Census Tract 86.06, Adams County, Colorado",3055
1500000US080010087051,80010087051,"Block Group 1, Census Tract 87.05, Adams County, Colorado",1841
1500000US080010087052,80010087052,"Block Group 2, Census Tract 87.05, Adams County, Colorado",1147
1500000US080010087053,80010087053,"Block Group 3, Census Tract 87.05, Adams County, Colorado",760
1500000US080010087054,80010087054,"Block Group 4, Census Tract 87.05, Adams County, Colorado",1173
1500000US080010087061,80010087061,"Block Group 1, Census Tract 87.06, Adams County, Colorado",1533
1500000US080010087062,80010087062,"Block Group 2, Census Tract 87.06, Adams County, Colorado",2166
1500000US080010087063,80010087063,"Block Group 3, Census Tract 87.06, Adams County, Colorado",1737
1500000US080010087091,80010087091,"Block Group 1, Census Tract 87.09, Adams County, Colorado",1190
1500000US080010087092,80010087092,"Block Group 2, Census Tract 87.09, Adams County, Colorado",1683
1500000US080010087093,80010087093,"Block Group 3, Census Tract 87.09, Adams County, Colorado",1245
1500000US080010087094,80010087094,"Block Group 4, Census Tract 87.09, Adams County, Colorado",1463
1500000US080010087095,80010087095,"Block Group 5, Census Tract 87.09, Adams County, Colorado",2075
1500000US080010088011,80010088011,"Block Group 1, Census Tract 88.01, Adams County, Colorado",727
1500000US080010088012,80010088012,"Block Group 2, Census Tract 88.01, Adams County, Colorado",2092
1500000US080010088013,80010088013,"Block Group 3, Census Tract 88.01, Adams County, Colorado",1933
1500000US080010088021,80010088021,"Block Group 1, Census Tract 88.02, Adams County, Colorado",1428
1500000US080010088022,80010088022,"Block Group 2, Census Tract 88.02, Adams County, Colorado",1720
1500000US080010088023,80010088023,"Block Group 3, Census Tract 88.02, Adams County, Colorado",927
1500000US080010089011,80010089011,"Block Group 1, Census Tract 89.01, Adams County, Colorado",960
1500000US080010089012,80010089012,"Block Group 2, Census Tract 89.01, Adams County, Colorado",1356
1500000US080010090011,80010090011,"Block Group 1, Census Tract 90.01, Adams County, Colorado",2172
1500000US080010090012,80010090012,"Block Group 2, Census Tract 90.01, Adams County, Colorado",2473
1500000US080010090021,80010090021,"Block Group 1, Census Tract 90.02, Adams County, Colorado",3081
1500000US080010090022,80010090022,"Block Group 2, Census Tract 90.02, Adams County, Colorado",2066
1500000US080010090023,80010090023,"Block Group 3, Census Tract 90.02, Adams County, Colorado",1298
1500000US080010090024,80010090024,"Block Group 4, Census Tract 90.02, Adams County, Colorado",1547
1500000US080010090025,80010090025,"Block Group 5, Census Tract 90.02, Adams County, Colorado",1211
1500000US080010091011,80010091011,"Block Group 1, Census Tract 91.01, Adams County, Colorado",1808
1500000US080010091012,80010091012,"Block Group 2, Census Tract 91.01, Adams County, Colorado",1426
1500000US080010091013,80010091013,"Block Group 3, Census Tract 91.01, Adams County, Colorado",878
1500000US080010091031,80010091031,"Block Group 1, Census Tract 91.03, Adams County, Colorado",2183
1500000US080010091032,80010091032,"Block Group 2, Census Tract 91.03, Adams County, Colorado",1279
1500000US080010091041,80010091041,"Block Group 1, Census Tract 91.04, Adams County, Colorado",2457
1500000US080010091042,80010091042,"Block Group 2, Census Tract 91.04, Adams County, Colorado",2743
1500000US080010092021,80010092021,"Block Group 1, Census Tract 92.02, Adams County, Colorado",1847
1500000US080010092022,80010092022,"Block Group 2, Census Tract 92.02, Adams County, Colorado",1267
1500000US080010092023,80010092023,"Block Group 3, Census Tract 92.02, Adams County, Colorado",1128
1500000US080010092031,80010092031,"Block Group 1, Census Tract 92.03, Adams County, Colorado",850
1500000US080010092032,80010092032,"Block Group 2, Census Tract 92.03, Adams County, Colorado",1310
1500000US080010092033,80010092033,"Block Group 3, Census Tract 92.03, Adams County, Colorado",2062
1500000US080010092041,80010092041,"Block Group 1, Census Tract 92.04, Adams County, Colorado",3353
1500000US080010092042,80010092042,"Block Group 2, Census Tract 92.04, Adams County, Colorado",1535
1500000US080010092043,80010092043,"Block Group 3, Census Tract 92.04, Adams County, Colorado",1612
1500000US080010092061,80010092061,"Block Group 1, Census Tract 92.06, Adams County, Colorado",2021
1500000US080010092071,80010092071,"Block Group 1, Census Tract 92.07, Adams County, Colorado",2816
